id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6H7nHMlKFHqztFoo020VNP,Haltu Kjafti,33,128197,0,"['Birgir Hákon', 'M Can', 'Tommy']","['29G2YTqyNXysziWEYJMh8K', '4HH1mWwB2TwqdqBdStHy2X', '5GMZVEJOgKu6FesmjSAgcG']",08/05/2020,81.7,0.38,8,-8.458,1,0.445,0.219,0,0.247,0.663,79.579,4
1NfhS4IBo7m6npwPNMkZbJ,Tourner la tête,63,158900,1,['Hornet La Frappe'],['1kwzW1IszUiq4Gs9BFesvW'],03/07/2020,93.2,0.685,2,-6.349,1,0.0573,0.0252,0,0.0616,0.933,125.959,4
4F2JsHduN1Ow8CkyxsnLh1,Rože,43,158400,0,['Jessica Shy'],['0CinAWYkte8opxVAPI3nMu'],27/02/2020,72.9,0.556,1,-6.588,1,0.0403,0.19,0,0.0916,0.645,99.965,4
1ymDJCICVjtTUlUaxu4gSp,Mi Cuarto - Remix,53,161765,0,"['DJ Alan Gomez', 'Maty Deejay']","['6oMRQ5H3A2XA5I3RG3leni', '2q6Gq9jlgpNEWgOzRZELQP']",25/08/2020,64.9,0.583,1,-6.799,1,0.18,0.0945,2.53E-06,0.0943,0.65,204.077,4
0RxnJZJuG8RAaVPvCTHHxx,Rockstar,40,133714,1,['SNIK'],['6wN4QyhoM6fN49kEB25rnl'],22/05/2020,70.3,0.818,7,-4.937,1,0.0493,0.55,0,0.125,0.591,139.999,4
2Wrd2BrWi5aHkBaMCD3rhF,Odiarte,44,202052,0,['Boza'],['2NfSBtmWe7oPw1EmetJVso'],31/07/2020,64.7,0.704,11,-4.403,0,0.0648,0.186,7.00E-06,0.109,0.585,167.906,4
1Oiv1C9pBUMQYGiBpRFCLS,"Tak Bisa Ke Lain Hati - Live at Jakarta Convention Center, Plenary Hall, Senayan, 2013",18,371160,0,['Kla Project'],['14kOlzXpWXGqpmhb05NcyU'],06/08/2020,43.8,0.728,11,-6.769,1,0.037,0.00617,0,0.992,0.241,131.029,4
5exI5XctjOtnVztDjDXHVG,jumper,52,179307,1,['chillwagon'],['31KykqmaPRWmV8PMHgWdE3'],22/12/2020,74.5,0.762,7,-3.716,1,0.229,0.0186,0,0.0946,0.513,123.936,4
0IrPfi3cAgG7AGUvSKqbnX,Camellia Flower <U+B3D9><U+BC31><U+AF43> - Remastered,19,211053,0,['015B'],['4uU7KfTjcjyKUGWSaTzLu7'],27/02/2020,49.6,0.808,9,-4.181,0,0.0522,0.414,0.00872,0.0829,0.272,120.103,4
7zf3jGtS0UxMIkXq0bTt4M,"Kidung Mesra - Live at Jakarta Convention Center, Plenary Hall, Senayan, 2013",24,286240,0,['Kla Project'],['14kOlzXpWXGqpmhb05NcyU'],06/08/2020,44.6,0.708,6,-6.909,1,0.0315,0.0321,0,0.779,0.38,101.058,4
